name	ratings	date	helpful	comment	comment_len
이지숙	5	2019-05-06	0	여러 이벤트로 할인쿠폰도 받고 잘 애용하고 있어요!!	29
김현호	5	2018-10-14	0	가게도 많고 리뷰도 많고! 너무너무 편하고 좋아요	27
김용주	5	2018-09-12	0	간단하고 편리하네요 배달 첨 시켜보는데 누구나 다 할 수 있습니다. 삶의 혁명이네요	46
SJ K	5	2019-01-19	0	좀 더 할인 이벤트 많이 하기를 바랍니다	22
전은기	5	2019-06-08	0	쿠폰을 사용하여 할인된 가격에 이용하게 되어서 만족합니다.	32
07이지원	5	2019-09-14	0	이 어플은 제가 뽑은 탑1 앱입니다 정말간편해요 군더더기 전혀없고 너무좋아요 꼭 사용하십셔	50
M ZKAL	5	2019-05-05	0	깔아서 회원가입만 해보고 안써봄 이유가 어플 깔아도 쓸 곳이 없음 도시가 아니라 ●●리 라서 그냥 전화함ㅋ	59
김연주	5	2019-10-13	0	배달료가요기요보다 더싸서 좋음	16
박준홍	5	2019-06-24	0	너무 편해서 너무 쉽게 돈쓰네요^^;	20
최창영	5	2019-05-03	0	다양한 할인혜택으로 인해 값 싸게 배달시켜먹을 수 있게 해주셔서 감사합니다.	42
Kyong min Lee	5	2020-06-21	0	오토바이배달올때 시끄럽게 다니는 가게는 주문하지 맙시다. 업주한테 불만이 아니라... 간혹 굉음내면서 배달오는데... 이렇게해서 라이더 점수주는 제도도입을 하세요. 이건 밤낮없이 시끄러워서...	108
yeonseo cho	5	2019-06-13	0	항상 잘이용하고잇어요..배민땜시 밥하기가 귀찮아지네요ㅋㅋㅋㅋ	33
김보경	5	2020-02-19	1	정말 잘 사용하고 있습니다. 근데 pc버전 다시 활성화 하실 생각 없으신가요ㅜㅜ	44
Hyunjin Sin	5	2019-10-06	0	배달하시는분도친절하시고, 양도푸짐하고맛있습니다	25
SJ Choi	5	2019-06-22	0	옛날 치킨의 업그레이드~ 맛있어요	18
핑퐁맘	5	2018-11-04	0	유용하게 잘이용하고잇어요	13
Google 사용자	5	2018-12-22	0	맛집들이 많아 행복해여~	13
안대영	5	2018-09-16	0	장사하시는분들 댓글좀보고 음식을해주셨음좋겠어요 부탁을드려도 문의글이나 댓글을봐야 지 아무리이렇게해달라해도 보지를않으니 자기들맘대로음식을해오니 좀그렇네요	84
꿈꾸는파머	5	2019-03-31	0	배달비가 있어서 아쉽지만 메뉴가 다양해서 좋아요	26
Jucy Joo	5	2019-10-27	0	잘 사용 하고 있습니다 ^^ 근데 주문하고나서 기다리는데 카톡으로 재고소진 으로 취소를 알려주는건.... 좀 ....카톡을 바로 확인못해서 죽치고 계속기다린게 벌써 몇번째인지 ㅠㅠ	100
김태웅	5	2019-05-22	0	편하고 좋음 나랑 입맛이 비슷한 유저가 추천하는 찜가게 공유 및 추천같은 입벗(입맛 친구)있으면 편할듯	57
강석복	5	2019-10-18	0	깔끔하고 맛도있어요 잔 만족합니다 대박나세요 자주 시켜먹을것 같아요	37
이명희	5	2019-12-28	0	너무 맛있어요...동그랑땡도 직접하신거고..오징어초무침도 맛나요..근데 조금더 새콤하고 매우면 좋겠어요	57
Google 사용자	5	2019-01-28	0	여긴 평판도 참 좋던데 항상 편하게 잘먹고 있습니다 감사합니다	34
최혜영	5	2019-01-14	0	순살치킨 반반으로 시켰는데 살 보드랍고 촉촉하니 너무 맛있습니다 가성대비 굿굿!!!	46
강성구	5	2019-02-20	0	맛잇어요 ^^기사님 매우 친절하시고 빠르게 배송해 주시네요 감사합니다	38
노주현	5	2019-08-04	12	사용하기 편리하고 맛있는 음식 간편하게 주문하기 딱 좋아요~~첫구매 쿠폰도 너무 좋았어요~^^	52
Wan Kim	5	2019-03-06	0	요근래 일주일에 세네번은 시키는듯요 이 앱없었음 어쩔뻔 여튼 편하게 잘 쓰고있어요	45
구교훈	5	2019-04-29	0	이벤트... 때메서버만 안터지면 ㅠ 좋은앶	23
김슬기	5	2019-03-06	0	배달 예상시간이 나와서 좋네요~주문처리도 빠르고요~	28
권은선	5	2019-02-17	0	유용하다 ..허나 너무 자주 이용한다ㅠ 살찌는 소리 돈나가는 소리ㅋㅋ	38
legend park	5	2019-09-29	0	배달시키기 편해서 좋아요	13
몽삼소	5	2019-08-13	0	말안하고도 주문결제완료 추가요구사항까지 해결!	25
한성희	5	2019-10-17	0	양상추 듬뿍 패티 따끈 아주 맛나게 먹었습니다	25
양서영	5	2019-02-14	0	밖에나가기 귀찮아하는저에겐 너무편하고 좋은앱이네요 감사할따름이예요~^^	39
박진형	5	2019-05-09	0	소비자입장에서 정말 편리하고 좋습니다 근데 사장님들이 더 좋아하는 이유는 뭘까요ㅎㅎ	46
mmoji	5	2019-06-04	0	이벤트도 많고 쿠폰도 자주줘서 정말 잘 이용하고 있습니다!	32
구정은	5	2019-11-25	0	빠르고 깔끔하고 따끈따끈하게 곁들임 반찬도 다양하고 맛나요!	33
백지연	5	2020-03-04	0	전화로주문하는것보다훨씬나은것같네요~	19
패스	5	2020-04-09	0	배달의 민족 힘내세요. 요즘같은 시기에 요금개편한 부분은 잘못된 부분이지만 일부 몰지각한 이용자들이 어디서 지령받고 악플 다는거는 잘못된거 같습니다. 무시하셔도 됩니다.	94
eunbi o	5	2020-05-02	2	솔직히 배민통해서 알려진가게들이 대부분인데 수수료좀올렸다고 피해자인척 소름돋네요ㅎ 배민 처음나올때부터 사용하고있는데 잘쓰고있어요 힘내세요 배민	79
정캡틴	5	2019-03-09	0	배달 음식 정보 다양하게 볼 수 있어서 좋은데 혼밥 메뉴가 넘 부족한 것 같습니다	45
미소천사	5	2019-08-18	0	빠른배송과 싸고 맛있게 먹을수 있어서 넘 조아용~~^^	30
안효주	5	2019-07-17	0	배달시키기도 편해요.	11
킴벌	5	2019-04-03	0	네이버 로그인이 안돼네요;; 메일 허용은 어떻게 하라는건지 방법이 없네요;;	42
지새롬	5	2019-02-25	0	쿠폰까지 쓸수있고 여기저기 등록된곳도 많고 만족합니다ㅎㅎ	31
박광준	5	2019-11-03	0	중복되는 부분이 많고 유명 브랜드가 아닌 곳은 찾기 힘드네요.	34
Google 사용자	5	2018-11-17	0	역시 배달 의만족 앱 편리하고요 너무 좋아요 ㅋㅋㅋㅋㅋ 화이팅 입니다 ㅎㅎㅎㅎㅎ	44
안경호	5	2019-07-27	0	다른배달앱보다 주문하기도편하고 종류도 다른데보다 찾기가 좋아요	34
이하연	5	2019-06-30	0	일하고 숨쉬고만 싶은데 배고플때 정말 좋은 앱입니다 쿠팡다음으로 사랑 합니다^^	44
김영미	5	2019-05-17	0	가입 후 첫 주문 할인쿠폰 너무 감사히 잘 썼습니당~~ :D	33
